lcTime pitch roll yaw velE velN velU lat lon height biasGx biasGy biasGz biasAx biasAy biasAz leverx levery leverz dt psrCorr psrRateDrift utc
1730951782 2.108033143077e+00 -1.631391605434e-01 -8.046813734890e+01 5.088879378464e+00 9.192435227532e-01 3.815785060832e-01 5.595598437935e-01 2.073691297644e+00 9.261945322848e+01 -5.403582208613e-04 -5.241691665567e-04 3.803331267990e-04 -1.254089575932e-01 -1.812608408885e-01 9.842978864457e-01 9.991520741401e-03 1.001601174739e-02 6.452229007102e-01 4.911862114029e-03 -1.331828306875e+05 3.675891003639e-01 0.000000000000e+00 
1730951782 1.982995481722e+00 -3.706942216009e-01 -8.046666048447e+01 4.411018760769e+00 8.142927933705e-01 3.952786603269e-01 5.595601318927e-01 2.073692194933e+00 9.313499972992e+01 -5.408339677725e-04 -5.212634694834e-04 3.332283690557e-04 -1.244142564572e-01 -1.833131831346e-01 9.859896817879e-01 9.990534575575e-03 1.001444574190e-02 6.455625123564e-01 4.908458460354e-03 -1.331819361026e+05 4.234591446020e-01 0.000000000000e+00 
1730951782 1.916081634471e+00 -6.514492138656e-01 -8.018638707604e+01 3.789195425316e+00 7.438460098168e-01 2.907995734268e-01 5.595603355240e-01 2.073693033360e+00 9.310651675815e+01 -5.374813762811e-04 -5.169322960776e-04 3.124297254757e-04 -1.262987453575e-01 -1.856521263702e-01 9.883875876647e-01 9.990108583155e-03 1.001399089290e-02 6.455911079622e-01 4.908107953606e-03 -1.331819640089e+05 3.657144622664e-01 0.000000000000e+00 
1730951783 1.521325555112e+00 -7.776756240229e-01 -8.022952952169e+01 3.450397263994e+00 6.553905594887e-01 2.473282952311e-01 5.595605185954e-01 2.073693752420e+00 9.343141903526e+01 -5.361060969062e-04 -5.137082149100e-04 2.946868692794e-04 -1.274972990453e-01 -1.879798601338e-01 9.895052426452e-01 9.989622243325e-03 1.001374156282e-02 6.456257791050e-01 4.908032626265e-03 -1.331814410274e+05 3.750644677525e-01 0.000000000000e+00 
1730951783 1.619849804624e+00 -3.493027939931e-01 -8.084577783444e+01 3.476248480298e+00 6.530176518924e-01 2.136198136785e-01 5.595607185486e-01 2.073694395265e+00 9.370907598854e+01 -5.365480610976e-04 -5.116291825245e-04 2.664074920304e-04 -1.273423523933e-01 -1.896418376970e-01 9.902502660857e-01 9.989378215038e-03 1.001334787849e-02 6.457528840124e-01 4.908216114154e-03 -1.331811655057e+05 3.414166651627e-01 0.000000000000e+00 
1730951783 2.164469437321e+00 4.320331218224e-01 -8.280881443987e+01 4.070532585173e+00 6.147627464230e-01 2.623371961881e-01 5.595608464827e-01 2.073695111529e+00 9.499137798456e+01 -5.369662732585e-04 -5.112802177169e-04 2.567003544765e-04 -1.278756463657e-01 -1.916532771443e-01 9.880674448094e-01 9.989085190275e-03 1.001279365583e-02 6.458309400236e-01 4.908288068110e-03 -1.331790490595e+05 5.398861447181e-01 0.000000000000e+00 
1730951783 2.274409045392e+00 3.065031723736e-01 -8.337605151070e+01 4.375838474289e+00 5.869386900227e-01 2.773369129828e-01 5.595609507805e-01 2.073695883204e+00 9.560984418040e+01 -5.381552186397e-04 -5.127300329695e-04 2.485713794103e-04 -1.268959489807e-01 -1.915487237314e-01 9.875308100716e-01 9.989051288554e-03 1.001239878305e-02 6.459343738199e-01 4.908024691484e-03 -1.331784168150e+05 5.248016704803e-01 0.000000000000e+00 
1730951783 2.248584964967e+00 1.359279810217e-01 -8.261069284012e+01 4.841144217955e+00 7.308478428323e-01 2.516225654362e-01 5.595610987650e-01 2.073696690575e+00 9.572271589471e+01 -5.399765343602e-04 -5.143143470946e-04 2.288363409648e-04 -1.248591520042e-01 -1.909382070640e-01 9.882898721110e-01 9.988963571512e-03 1.001204242851e-02 6.460950737889e-01 4.907572915040e-03 -1.331783699716e+05 4.534783258947e-01 0.000000000000e+00 
1730951783 2.533057975401e+00 8.095560496830e-01 -8.162903476200e+01 5.152471298937e+00 8.604407273499e-01 2.647436568244e-01 5.595612349737e-01 2.073697533058e+00 9.607157115603e+01 -5.428711179262e-04 -5.181398284930e-04 2.147892662705e-04 -1.215327544722e-01 -1.894192607602e-01 9.878729326428e-01 9.989048476065e-03 1.001160367057e-02 6.462938930475e-01 4.907236447365e-03 -1.331784839872e+05 3.508384223289e-01 0.000000000000e+00 
1730951784 3.505931465517e+00 1.005994295873e+00 -8.052996281310e+01 5.638539493232e+00 1.093680149529e+00 3.484856533133e-01 5.595614257026e-01 2.073698456860e+00 9.662591349820e+01 -5.459292136154e-04 -5.217840013731e-04 1.921436684900e-04 -1.181993454217e-01 -1.883633404821e-01 9.872271851299e-01 9.989158527519e-03 1.001078569694e-02 6.466160256393e-01 4.906577301792e-03 -1.331776061366e+05 4.141283160100e-01 0.000000000000e+00 
1730951784 2.944223367925e+00 1.487633566976e+00 -7.966817310792e+01 5.836312240236e+00 1.227237164389e+00 3.179929346707e-01 5.595616776925e-01 2.073699414874e+00 9.732737354266e+01 -5.501453186306e-04 -5.253290631686e-04 1.580018479382e-04 -1.141598500060e-01 -1.881484044063e-01 9.863906543265e-01 9.989696839098e-03 1.000987147137e-02 6.470634086777e-01 4.905688896017e-03 -1.331767716695e+05 4.504492152164e-01 0.000000000000e+00 
1730951784 2.850366045997e+00 4.321095939795e-01 -7.906591082589e+01 6.030504264214e+00 1.329724146834e+00 3.028926787958e-01 5.595618682684e-01 2.073700623624e+00 9.723657457157e+01 -5.450884621642e-04 -5.217552217763e-04 1.602952134339e-04 -1.190536638844e-01 -1.884687904148e-01 9.875889016145e-01 9.989596956561e-03 1.001020180994e-02 6.468307901479e-01 4.906156613817e-03 -1.331772038552e+05 3.404871590999e-01 0.000000000000e+00 
1730951784 3.255419520398e+00 1.490991545218e+00 -7.915293567846e+01 6.223966015086e+00 1.320608219254e+00 2.591372130558e-01 5.595620311105e-01 2.073701877640e+00 9.710400503437e+01 -5.392471868144e-04 -5.181167900797e-04 1.744304997456e-04 -1.244617155688e-01 -1.882402283886e-01 9.881621133992e-01 9.989514357270e-03 1.001071658574e-02 6.465039327857e-01 4.906952100326e-03 -1.331775763721e+05 2.618712316719e-01 0.000000000000e+00 
1730951784 3.229602318145e+00 1.250503781669e+00 -7.967525601079e+01 6.380746051801e+00 1.226653260685e+00 2.189184563210e-01 5.595622068518e-01 2.073703127621e+00 9.697505023233e+01 -5.352496377495e-04 -5.152961882073e-04 1.827567566753e-04 -1.280517734034e-01 -1.881201871611e-01 9.883222448685e-01 9.989413281094e-03 1.001117512274e-02 6.462592768783e-01 4.907491754015e-03 -1.331782497237e+05 1.454498261402e-01 0.000000000000e+00 
1730951784 3.699313259955e+00 7.359734246260e-01 -7.909269955912e+01 6.464335017964e+00 1.330156309290e+00 3.190945244444e-01 5.595624205813e-01 2.073704394415e+00 9.675230668149e+01 -5.317938334066e-04 -5.123387242427e-04 1.789758755933e-04 -1.311875139819e-01 -1.884019873431e-01 9.892461456783e-01 9.989452073617e-03 1.001145773668e-02 6.461209994957e-01 4.907801432700e-03 -1.331784148170e+05 1.337136999705e-01 0.000000000000e+00 
1730951785 3.371740705287e+00 7.899292090877e-01 -7.892032878596e+01 6.658624724954e+00 1.317441393572e+00 1.959067347835e-01 5.595625321265e-01 2.073705694496e+00 9.672656512444e+01 -5.269519710507e-04 -5.104387468213e-04 2.132929165464e-04 -1.350662000040e-01 -1.869265167750e-01 9.883900619451e-01 9.989517973929e-03 1.001211629008e-02 6.457246331778e-01 4.908184147533e-03 -1.331791566935e+05 2.072084585207e-02 0.000000000000e+00 
1730951785 3.620793109621e+00 8.367706511650e-01 -7.914827229275e+01 6.698340889358e+00 1.210127030493e+00 1.839344095374e-01 5.595626113755e-01 2.073706986683e+00 9.676669933787e+01 -5.231191667452e-04 -5.096807362333e-04 2.578702545031e-04 -1.376282642603e-01 -1.846664296534e-01 9.870733882609e-01 9.989617035840e-03 1.001284762073e-02 6.452942248083e-01 4.907903421341e-03 -1.331797072237e+05 -4.632873795303e-02 0.000000000000e+00 
1730951785 3.181867291407e+00 1.209801733683e+00 -7.962217081529e+01 6.530352709067e+00 1.060457234641e+00 1.552313743580e-01 5.595626754301e-01 2.073708257822e+00 9.694557265180e+01 -5.202019821097e-04 -5.089059343106e-04 3.029863468861e-04 -1.396396623497e-01 -1.829215584270e-01 9.856493050662e-01 9.989449987248e-03 1.001306031712e-02 6.450351364596e-01 4.907285133988e-03 -1.331798253495e+05 -4.382051108904e-02 0.000000000000e+00 
1730951785 2.880862331790e+00 1.162154253415e+00 -7.973999873048e+01 6.568965583905e+00 1.005418746348e+00 1.072324786754e-01 5.595627561009e-01 2.073709486861e+00 9.685969569182e+01 -5.180238508211e-04 -5.079552117788e-04 3.382440908053e-04 -1.406634408755e-01 -1.812926821902e-01 9.847126642139e-01 9.989352288091e-03 1.001317528285e-02 6.448732533176e-01 4.906548475647e-03 -1.331803852841e+05 -9.935160751429e-02 0.000000000000e+00 
1730951785 2.392864899206e+00 1.744254567130e-01 -7.947761600362e+01 6.784344617366e+00 1.038990580337e+00 1.128506543951e-01 5.595628270723e-01 2.073710744878e+00 9.654271504114e+01 -5.154383946256e-04 -5.069904287399e-04 3.785676215023e-04 -1.416032883677e-01 -1.788880157116e-01 9.848352857847e-01 9.990038423149e-03 1.001283331043e-02 6.448822524146e-01 4.906124556930e-03 -1.331808685512e+05 -1.156642181217e-01 0.000000000000e+00 
1730951785 3.573397114330e+00 -4.979415126932e-01 -7.898403688858e+01 6.927302388028e+00 1.091143712974e+00 9.376955840073e-02 5.595629645575e-01 2.073711989290e+00 9.658310905574e+01 -5.155278080486e-04 -5.065948537964e-04 4.003676298891e-04 -1.406677871089e-01 -1.776920798393e-01 9.828564927559e-01 9.990560690662e-03 1.001320122961e-02 6.447510747992e-01 4.905386362968e-03 -1.331810824657e+05 -1.188810549297e-01 0.000000000000e+00 
1730951786 2.869134573578e+00 -2.533428615054e-02 -7.902173213792e+01 7.040373359677e+00 1.153260404161e+00 1.335123906339e-01 5.595631429169e-01 2.073713268038e+00 9.649460681386e+01 -5.154140533410e-04 -5.056988341858e-04 4.092753043462e-04 -1.398341395230e-01 -1.769103143896e-01 9.822920886542e-01 9.990674894035e-03 1.001332670367e-02 6.447256106288e-01 4.905137250798e-03 -1.331812758143e+05 -1.078816004531e-01 0.000000000000e+00 
1730951786 3.444365139194e+00 5.864094711705e-02 -7.969825752346e+01 7.007714835736e+00 9.869903376036e-01 1.811195612816e-01 5.595633335879e-01 2.073714522457e+00 9.658915482809e+01 -5.167615434765e-04 -5.050401108958e-04 4.149388790862e-04 -1.379690900602e-01 -1.764507770466e-01 9.810241487651e-01 9.990682342919e-03 1.001350171054e-02 6.447240573083e-01 4.904733462086e-03 -1.331814224824e+05 -1.085177509449e-01 0.000000000000e+00 
1730951786 3.439660259781e+00 -1.551039109134e-01 -7.946385132773e+01 6.937140230979e+00 1.002207988486e+00 2.058952123874e-01 5.595634783735e-01 2.073715753967e+00 9.676836201399e+01 -5.180758360131e-04 -5.048477457487e-04 4.304983090399e-04 -1.363100247987e-01 -1.752511272299e-01 9.796510174601e-01 9.990853440323e-03 1.001366970724e-02 6.447015975545e-01 4.904626203910e-03 -1.331816778168e+05 -1.287085273032e-01 0.000000000000e+00 
